epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4602,2.52654,4.9311,2.15125,0.97311,0.02989,0.06141,0.02292,2.23493,3.63984,1.80132,0.000165049,0.000165049,0.000165049
2,45.359,2.06587,3.712,1.70024,0.43759,0.35997,0.3749,0.16029,2.07931,2.48007,1.73491,0.000328431,0.000328431,0.000328431
3,66.9978,1.97305,2.71793,1.6053,0.53705,0.5739,0.56293,0.24069,2.01623,2.03891,1.75785,0.000488514,0.000488514,0.000488514
4,89.0463,1.88811,2.18778,1.55772,0.78956,0.7275,0.78972,0.38862,1.91084,1.52182,1.69674,0.00048515,0.00048515,0.00048515
5,113.986,1.83242,1.94177,1.50907,0.72937,0.70216,0.75939,0.348,1.93738,1.53031,1.66817,0.0004802,0.0004802,0.0004802
6,137.537,1.76163,1.77878,1.48985,0.79227,0.7662,0.81968,0.40262,1.80104,1.37872,1.63007,0.00047525,0.00047525,0.00047525
7,159.032,1.76453,1.667,1.47598,0.77955,0.82407,0.85651,0.43716,1.7617,1.21589,1.57657,0.0004703,0.0004703,0.0004703
8,187.905,1.73226,1.56318,1.4661,0.82302,0.8126,0.8578,0.43449,1.7681,1.17387,1.57168,0.00046535,0.00046535,0.00046535
9,216.487,1.68891,1.46757,1.43132,0.79223,0.78633,0.82855,0.3968,1.81896,1.22485,1.61496,0.0004604,0.0004604,0.0004604
10,249.069,1.66694,1.40234,1.42792,0.78764,0.82453,0.86202,0.44501,1.73738,1.18073,1.52941,0.00045545,0.00045545,0.00045545
11,276.159,1.66088,1.34408,1.42616,0.83095,0.86596,0.88576,0.46917,1.6746,1.09335,1.49992,0.0004505,0.0004505,0.0004505
12,300.418,1.63321,1.29375,1.40531,0.82262,0.88006,0.8876,0.481,1.63037,1.03228,1.49281,0.00044555,0.00044555,0.00044555
13,325.564,1.60936,1.25902,1.39468,0.84934,0.86347,0.89314,0.47817,1.63674,1.00325,1.48446,0.0004406,0.0004406,0.0004406
14,351.937,1.59202,1.19406,1.37648,0.88201,0.85309,0.89687,0.48184,1.62165,0.99416,1.49459,0.00043565,0.00043565,0.00043565
15,381.704,1.57518,1.1719,1.3751,0.82834,0.85599,0.88988,0.46904,1.66857,1.0282,1.51888,0.0004307,0.0004307,0.0004307
16,407.143,1.5732,1.15444,1.37013,0.84136,0.84742,0.89901,0.4842,1.64691,1.0042,1.49031,0.00042575,0.00042575,0.00042575
17,432.594,1.56417,1.12289,1.36175,0.82372,0.84294,0.86508,0.45901,1.70332,1.00202,1.49528,0.0004208,0.0004208,0.0004208
18,457.961,1.55271,1.10938,1.35913,0.85036,0.88519,0.9091,0.50123,1.58236,0.91854,1.44799,0.00041585,0.00041585,0.00041585
19,483.042,1.54786,1.09959,1.34921,0.84959,0.8908,0.91329,0.51135,1.54849,0.90971,1.44104,0.0004109,0.0004109,0.0004109
20,508.205,1.53725,1.04616,1.34378,0.87802,0.88462,0.90515,0.50696,1.5782,0.86682,1.43449,0.00040595,0.00040595,0.00040595
21,533.245,1.51357,1.04478,1.32706,0.88205,0.89209,0.91817,0.51058,1.55556,0.87784,1.42219,0.000401,0.000401,0.000401
22,558.485,1.50649,1.00536,1.331,0.87131,0.8945,0.9162,0.50881,1.58076,0.88114,1.4233,0.00039605,0.00039605,0.00039605
23,583.081,1.50926,1.00241,1.32481,0.89122,0.90821,0.9245,0.52002,1.50896,0.82115,1.37676,0.0003911,0.0003911,0.0003911
24,607.86,1.48633,0.9743,1.31625,0.89367,0.89028,0.91951,0.52296,1.53975,0.84517,1.38156,0.00038615,0.00038615,0.00038615
25,632.796,1.47414,0.97492,1.30568,0.89674,0.89327,0.92538,0.53058,1.52368,0.80638,1.37944,0.0003812,0.0003812,0.0003812
26,658.011,1.4731,0.94312,1.30288,0.8939,0.90514,0.92579,0.52398,1.51741,0.81864,1.39415,0.00037625,0.00037625,0.00037625
27,683.806,1.45222,0.92863,1.2941,0.87988,0.91944,0.92175,0.52577,1.53106,0.8114,1.40495,0.0003713,0.0003713,0.0003713
28,709.123,1.45419,0.91717,1.30355,0.89425,0.92827,0.93059,0.53295,1.53642,0.7931,1.38952,0.00036635,0.00036635,0.00036635
29,734.186,1.43628,0.90945,1.29027,0.89381,0.90361,0.92325,0.52837,1.51477,0.78114,1.39136,0.0003614,0.0003614,0.0003614
30,759.119,1.45796,0.90268,1.28698,0.90002,0.91327,0.93096,0.54006,1.49222,0.77837,1.37811,0.00035645,0.00035645,0.00035645
31,784.002,1.4379,0.90015,1.27563,0.88885,0.91944,0.93247,0.54155,1.50131,0.76159,1.36398,0.0003515,0.0003515,0.0003515
32,808.953,1.41604,0.8753,1.27222,0.89922,0.92505,0.933,0.54008,1.49723,0.77249,1.37912,0.00034655,0.00034655,0.00034655
33,833.954,1.43459,0.88187,1.28022,0.89207,0.92182,0.93571,0.55534,1.49087,0.75319,1.35585,0.0003416,0.0003416,0.0003416
34,858.781,1.40834,0.85624,1.27178,0.90432,0.92197,0.93427,0.5423,1.50741,0.75709,1.38831,0.00033665,0.00033665,0.00033665
35,883.613,1.42973,0.8631,1.27821,0.89724,0.92649,0.93662,0.54376,1.49534,0.75292,1.37019,0.0003317,0.0003317,0.0003317
36,908.337,1.4129,0.84325,1.26728,0.90819,0.90939,0.93506,0.55288,1.46666,0.74992,1.34215,0.00032675,0.00032675,0.00032675
37,933.358,1.40355,0.85072,1.26468,0.89988,0.92648,0.93386,0.5558,1.47232,0.72796,1.34806,0.0003218,0.0003218,0.0003218
38,958.457,1.40316,0.83728,1.26093,0.91683,0.9223,0.94159,0.55457,1.45976,0.72604,1.34196,0.00031685,0.00031685,0.00031685
39,983.495,1.38078,0.8309,1.25281,0.91702,0.93511,0.94781,0.56747,1.46569,0.70858,1.34207,0.0003119,0.0003119,0.0003119
40,1008.34,1.37222,0.82315,1.25764,0.91918,0.93325,0.947,0.56493,1.45857,0.71935,1.35313,0.00030695,0.00030695,0.00030695
41,1033.16,1.37633,0.79746,1.2491,0.91512,0.93415,0.94596,0.56726,1.46035,0.70823,1.34131,0.000302,0.000302,0.000302
42,1058.54,1.37002,0.80746,1.2478,0.91559,0.92801,0.94047,0.56797,1.45352,0.71549,1.34459,0.00029705,0.00029705,0.00029705
43,1083.5,1.3613,0.78888,1.24533,0.91407,0.93459,0.94763,0.56265,1.46409,0.70666,1.34586,0.0002921,0.0002921,0.0002921
44,1108.47,1.36158,0.7856,1.23848,0.92016,0.92976,0.9434,0.56391,1.45506,0.69966,1.33294,0.00028715,0.00028715,0.00028715
45,1134.48,1.34443,0.77778,1.2341,0.91083,0.93339,0.94432,0.56904,1.45154,0.70707,1.35436,0.0002822,0.0002822,0.0002822
46,1159.51,1.34858,0.77495,1.23332,0.92347,0.93555,0.94292,0.57019,1.43972,0.69421,1.33165,0.00027725,0.00027725,0.00027725
47,1184.47,1.34369,0.76647,1.22926,0.91993,0.94281,0.94674,0.57459,1.43952,0.6683,1.31423,0.0002723,0.0002723,0.0002723
48,1209.1,1.34327,0.77278,1.23745,0.92344,0.94404,0.94925,0.57004,1.45869,0.69428,1.33425,0.00026735,0.00026735,0.00026735
49,1234.03,1.34667,0.77075,1.23641,0.92054,0.93353,0.94207,0.56273,1.46701,0.6871,1.33336,0.0002624,0.0002624,0.0002624
50,1259.04,1.32518,0.74602,1.21409,0.91566,0.9364,0.94695,0.5752,1.42234,0.68522,1.33257,0.00025745,0.00025745,0.00025745
51,1283.9,1.32378,0.7576,1.22714,0.93514,0.94222,0.95307,0.57753,1.43356,0.66583,1.33178,0.0002525,0.0002525,0.0002525
52,1308.45,1.31734,0.74551,1.21478,0.93037,0.93751,0.95195,0.57385,1.43145,0.66012,1.31728,0.00024755,0.00024755,0.00024755
53,1333.11,1.32073,0.74139,1.20896,0.92367,0.93765,0.94959,0.5817,1.39675,0.66603,1.29328,0.0002426,0.0002426,0.0002426
54,1358.16,1.3224,0.73801,1.21814,0.93564,0.93602,0.94803,0.58022,1.40204,0.66476,1.31155,0.00023765,0.00023765,0.00023765
55,1382.94,1.31868,0.73299,1.20825,0.91858,0.94424,0.95408,0.5773,1.4172,0.666,1.3106,0.0002327,0.0002327,0.0002327
56,1407.36,1.30516,0.73276,1.21098,0.93065,0.9434,0.94669,0.58661,1.40273,0.6566,1.30407,0.00022775,0.00022775,0.00022775
57,1431.89,1.32794,0.74181,1.23042,0.93281,0.94508,0.95222,0.58047,1.43237,0.6617,1.32137,0.0002228,0.0002228,0.0002228
58,1456.51,1.30466,0.72913,1.21525,0.94096,0.93818,0.95506,0.58655,1.42545,0.64936,1.30658,0.00021785,0.00021785,0.00021785
59,1481.15,1.29787,0.7223,1.21121,0.92354,0.94532,0.95385,0.58838,1.38952,0.63648,1.29202,0.0002129,0.0002129,0.0002129
60,1506.47,1.28969,0.7186,1.20964,0.93032,0.93645,0.94833,0.57967,1.4033,0.64399,1.29641,0.00020795,0.00020795,0.00020795
61,1530.99,1.29779,0.71288,1.20561,0.93242,0.94739,0.95268,0.58923,1.38762,0.635,1.28158,0.000203,0.000203,0.000203
62,1555.75,1.28347,0.72314,1.20199,0.92717,0.94065,0.95325,0.58937,1.38989,0.63206,1.28626,0.00019805,0.00019805,0.00019805
63,1581.02,1.28393,0.70249,1.19505,0.93491,0.94183,0.95342,0.59271,1.39248,0.6259,1.29108,0.0001931,0.0001931,0.0001931
