epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2969,2.52654,4.9311,2.15125,0.97311,0.02989,0.06141,0.02292,2.23493,3.63984,1.80132,0.000165049,0.000165049,0.000165049
2,34.5047,2.06956,3.70673,1.70541,0.40982,0.37486,0.35638,0.14919,2.17863,2.49192,1.81247,0.000325147,0.000325147,0.000325147
3,50.3662,1.97961,2.71671,1.62878,0.55827,0.52225,0.56942,0.25606,1.99499,1.96556,1.77832,0.000478646,0.000478646,0.000478646
4,66.2077,1.89843,2.20422,1.58936,0.71769,0.68274,0.75612,0.36037,1.93893,1.58003,1.70877,0.0004703,0.0004703,0.0004703
5,84.0605,1.82682,1.96934,1.5218,0.76075,0.66831,0.77611,0.38021,1.7982,1.52534,1.63569,0.0004604,0.0004604,0.0004604
6,107.952,1.76828,1.79201,1.5032,0.80512,0.77074,0.83002,0.42464,1.80134,1.38799,1.65547,0.0004505,0.0004505,0.0004505
7,132.984,1.74879,1.6715,1.48188,0.84947,0.81529,0.86499,0.44145,1.7467,1.17207,1.56635,0.0004406,0.0004406,0.0004406
8,159.741,1.71978,1.56821,1.46453,0.80186,0.82754,0.85397,0.44267,1.74491,1.1748,1.58602,0.0004307,0.0004307,0.0004307
9,183.407,1.69037,1.47727,1.44083,0.83603,0.82718,0.86244,0.45045,1.7145,1.09153,1.55313,0.0004208,0.0004208,0.0004208
10,208.897,1.65501,1.3965,1.42506,0.83904,0.86084,0.88822,0.46864,1.69717,1.08258,1.51909,0.0004109,0.0004109,0.0004109
11,234.394,1.65189,1.34545,1.42811,0.83652,0.84961,0.88344,0.45042,1.71148,1.08542,1.55281,0.000401,0.000401,0.000401
12,260.021,1.62928,1.29967,1.41187,0.82974,0.83865,0.87089,0.45782,1.67965,1.03369,1.52981,0.0003911,0.0003911,0.0003911
13,286.199,1.6079,1.26164,1.40305,0.86958,0.87297,0.89486,0.48046,1.67149,1.00428,1.51456,0.0003812,0.0003812,0.0003812
14,313.639,1.57802,1.19336,1.38269,0.85943,0.88406,0.89715,0.49126,1.61134,0.96038,1.46734,0.0003713,0.0003713,0.0003713
15,339.045,1.55276,1.16872,1.37109,0.85613,0.87109,0.90204,0.47813,1.63866,0.96223,1.48129,0.0003614,0.0003614,0.0003614
16,364.586,1.56515,1.17551,1.37394,0.88443,0.87939,0.89979,0.50433,1.60876,0.9174,1.47312,0.0003515,0.0003515,0.0003515
17,390.262,1.54619,1.11548,1.36286,0.87926,0.86797,0.90446,0.49109,1.6485,0.94165,1.49187,0.0003416,0.0003416,0.0003416
18,416.457,1.52877,1.10961,1.35185,0.89223,0.89845,0.92887,0.51613,1.57507,0.90444,1.44423,0.0003317,0.0003317,0.0003317
19,441.962,1.51617,1.09075,1.33654,0.89836,0.90366,0.92431,0.52606,1.55219,0.86983,1.43156,0.0003218,0.0003218,0.0003218
20,467.766,1.50518,1.04266,1.32596,0.85184,0.90923,0.9222,0.52162,1.53197,0.85935,1.42728,0.0003119,0.0003119,0.0003119
21,493.229,1.49109,1.04602,1.32471,0.87709,0.89256,0.91783,0.51447,1.557,0.86107,1.43762,0.000302,0.000302,0.000302
22,519.596,1.48009,0.99745,1.32251,0.89349,0.91842,0.92937,0.53915,1.51504,0.80486,1.40209,0.0002921,0.0002921,0.0002921
23,546.527,1.4831,0.98386,1.32,0.898,0.90968,0.92996,0.53104,1.50369,0.79864,1.39438,0.0002822,0.0002822,0.0002822
24,572.916,1.46767,0.96941,1.31012,0.86958,0.91683,0.93489,0.53616,1.49922,0.80999,1.38264,0.0002723,0.0002723,0.0002723
25,598.621,1.44699,0.97268,1.29782,0.90464,0.91985,0.93496,0.54696,1.51182,0.78006,1.3998,0.0002624,0.0002624,0.0002624
26,624.572,1.44209,0.93317,1.29444,0.90281,0.90745,0.93625,0.53361,1.51079,0.78491,1.39667,0.0002525,0.0002525,0.0002525
27,651.892,1.42397,0.91973,1.28371,0.90049,0.92627,0.93799,0.55082,1.47711,0.76951,1.38105,0.0002426,0.0002426,0.0002426
28,678.341,1.41443,0.90738,1.29006,0.90632,0.93096,0.94051,0.55451,1.45642,0.76894,1.36049,0.0002327,0.0002327,0.0002327
29,704.935,1.40547,0.89618,1.27893,0.89924,0.92071,0.93059,0.53961,1.50071,0.76416,1.38988,0.0002228,0.0002228,0.0002228
30,730.876,1.43271,0.88857,1.27524,0.91626,0.93473,0.94239,0.55532,1.48622,0.75755,1.36879,0.0002129,0.0002129,0.0002129
31,756.774,1.40317,0.87914,1.26847,0.91593,0.93289,0.94723,0.5619,1.45706,0.72551,1.35346,0.000203,0.000203,0.000203
32,782.597,1.38784,0.86528,1.26114,0.93658,0.932,0.94568,0.55449,1.45896,0.74375,1.35076,0.0001931,0.0001931,0.0001931
33,809.119,1.38583,0.85335,1.25766,0.91904,0.93739,0.94588,0.56527,1.46244,0.72822,1.36202,0.0001832,0.0001832,0.0001832
34,836.808,1.36709,0.83398,1.25623,0.91848,0.94069,0.9443,0.55491,1.47198,0.72526,1.36237,0.0001733,0.0001733,0.0001733
35,863.464,1.38997,0.84335,1.26435,0.93127,0.93438,0.95102,0.56039,1.46253,0.71447,1.35233,0.0001634,0.0001634,0.0001634
36,889.368,1.35879,0.82408,1.24877,0.9318,0.93809,0.95069,0.5661,1.44521,0.71673,1.35471,0.0001535,0.0001535,0.0001535
37,915.585,1.36564,0.83264,1.25218,0.93065,0.93346,0.94407,0.57133,1.42534,0.70064,1.33735,0.0001436,0.0001436,0.0001436
38,941.496,1.36301,0.81697,1.24674,0.91381,0.94452,0.94823,0.57621,1.41654,0.69366,1.33556,0.0001337,0.0001337,0.0001337
39,969.487,1.34185,0.81427,1.2387,0.92355,0.94493,0.95163,0.5801,1.42306,0.6878,1.33895,0.0001238,0.0001238,0.0001238
40,995.696,1.32965,0.80712,1.24085,0.92196,0.94333,0.95023,0.57523,1.41971,0.6884,1.33805,0.0001139,0.0001139,0.0001139
41,1054.4,1.32326,0.72895,1.28808,0.91999,0.93445,0.94426,0.56026,1.43793,0.71838,1.34035,0.000104,0.000104,0.000104
42,1080.07,1.29215,0.70627,1.26986,0.93354,0.94109,0.95084,0.5767,1.41397,0.68523,1.32422,9.41e-05,9.41e-05,9.41e-05
43,1106.63,1.29284,0.70032,1.27091,0.92599,0.93889,0.94972,0.58223,1.40517,0.67844,1.31871,8.42e-05,8.42e-05,8.42e-05
44,1133.85,1.27873,0.68547,1.25543,0.93015,0.94428,0.95051,0.58513,1.4098,0.68177,1.31667,7.43e-05,7.43e-05,7.43e-05
45,1159.26,1.2563,0.68276,1.24714,0.92786,0.94052,0.95236,0.58219,1.40855,0.67379,1.31582,6.44e-05,6.44e-05,6.44e-05
46,1184.54,1.25178,0.66977,1.23816,0.93588,0.94039,0.95124,0.5819,1.40546,0.68189,1.31924,5.45e-05,5.45e-05,5.45e-05
47,1209.76,1.25599,0.66986,1.23935,0.93246,0.9436,0.9522,0.58485,1.398,0.66857,1.31254,4.46e-05,4.46e-05,4.46e-05
48,1235.14,1.24179,0.66306,1.23432,0.93916,0.94485,0.95358,0.58916,1.38757,0.65457,1.30629,3.47e-05,3.47e-05,3.47e-05
49,1260.52,1.23763,0.66681,1.2305,0.93563,0.94396,0.95129,0.58448,1.39163,0.66077,1.30802,2.48e-05,2.48e-05,2.48e-05
50,1285.76,1.23688,0.6619,1.24021,0.94479,0.94522,0.95486,0.58816,1.38833,0.65417,1.30723,1.49e-05,1.49e-05,1.49e-05
